Ssn,Sex,Salary,Bdate,Super_ssn,Dno
281,0,81000,61101,396,12
282,0,237000,55554,68,19
283,1,168000,58830,33,20
284,1,208000,60227,487,8
285,1,174000,63474,312,36
286,1,179000,70588,134,25
287,0,125000,65688,311,23
288,0,114000,61096,384,21
289,0,295000,68773,235,28
290,0,140000,58225,143,23
291,0,130000,67992,336,8
292,1,291000,61282,91,26
293,0,146000,70409,152,24
294,0,63000,64731,312,19
295,1,271000,68899,429,23
296,0,153000,65986,280,23
297,1,149000,55671,355,30
298,0,269000,63428,440,17
299,1,269000,55128,393,4
300,0,108000,56630,431,12
301,1,261000,70945,8,26
302,0,29000,67181,479,40
303,0,151000,70747,206,16
304,1,250000,55719,232,35
305,0,196000,70451,351,36
306,1,212000,56691,256,2
307,0,275000,66572,288,17
308,0,139000,69492,378,12
309,1,150000,66631,314,37
310,0,157000,61754,477,22
311,1,192000,61293,130,15
312,0,271000,67341,92,20
313,0,258000,58912,78,40
314,1,114000,60679,309,26
315,1,259000,58197,327,11
316,0,28000,60503,24,6
317,0,61000,59750,97,28
318,0,169000,63215,294,24
319,0,212000,64715,238,12
320,1,293000,57853,428,12
321,1,68000,62581,266,17
322,1,38000,64095,90,29
323,0,103000,66436,9,10
324,1,127000,61098,69,12
325,0,289000,67484,316,40
326,1,200000,68623,463,29
327,1,131000,55769,451,15
328,0,60000,62162,453,16
329,0,289000,64004,407,12
330,1,48000,55081,357,33
331,0,218000,63886,157,7
332,0,286000,64470,52,24
333,1,288000,69585,378,9
334,1,154000,59780,98,36
335,0,160000,64378,121,11
336,0,232000,60337,247,28
337,0,98000,65059,110,40
338,0,83000,62440,50,24
339,0,203000,69152,43,5
340,0,124000,66532,372,36
341,0,272000,69455,92,12
342,1,38000,57778,161,31
343,1,152000,61789,283,36
344,0,98000,56352,255,21
345,1,122000,69218,394,19
346,0,230000,55518,326,30
347,0,107000,58861,28,6
348,0,258000,57779,111,1
349,0,104000,56920,94,3
350,1,133000,67657,414,30
351,1,60000,69417,316,12
352,0,107000,63445,427,2
353,1,70000,58609,277,10
354,1,30000,56259,340,34
355,1,140000,70120,48,6
356,0,80000,59745,388,36
357,1,178000,57021,297,24
358,1,75000,69584,408,31
359,1,72000,64317,427,24
360,0,140000,66747,27,12
361,0,135000,61914,168,18
362,1,132000,57924,399,16
363,1,178000,70906,156,12
364,1,244000,70685,297,26
365,1,49000,65246,223,19
366,1,92000,70883,384,36
367,0,192000,70116,130,37
368,1,218000,68238,366,35
369,1,104000,68865,282,37
370,1,260000,60165,385,4
371,0,67000,62072,330,36
372,0,138000,57898,298,2
373,0,81000,63519,151,33
374,0,247000,63857,370,32
375,1,166000,69892,431,18
376,0,26000,56602,432,13
377,1,87000,58172,174,17
378,0,180000,55932,190,19
379,0,155000,55542,180,7
380,0,85000,69825,292,36
381,1,183000,64014,26,4
382,1,141000,68009,180,9
383,0,150000,57161,240,34
384,1,76000,61270,238,32
385,0,170000,63491,51,8
386,1,128000,56870,33,20
387,1,214000,69669,477,24
388,1,66000,56382,62,37
389,0,87000,58849,164,6
390,0,57000,65032,29,33
391,1,244000,69738,321,19
392,1,134000,67827,327,16
393,0,38000,67822,396,20
394,1,256000,68361,447,16
395,0,142000,68641,95,5
396,0,212000,67227,65,12
397,0,91000,58480,194,9
398,0,85000,66576,430,24
399,0,93000,57107,398,23
400,0,106000,56515,414,7
401,0,147000,57700,242,39
402,0,275000,57917,108,1
403,0,158000,67421,141,11
404,1,178000,69434,447,18
405,0,62000,65524,302,14
406,0,200000,63326,24,17
407,1,170000,66542,439,33
408,1,200000,59006,336,7
409,1,129000,71585,28,33
410,0,68000,70923,209,37
411,1,222000,67700,146,11
412,0,277000,58705,281,20
413,0,192000,69026,171,31
414,1,136000,67262,118,3
415,1,140000,60926,455,3
416,0,259000,63094,24,14
417,0,64000,57196,172,25
418,1,231000,57881,281,3
419,0,292000,65828,45,4
420,0,48000,63468,474,36
421,0,173000,60377,228,27
422,0,48000,56785,215,2
423,0,77000,69310,263,4
424,0,158000,69890,222,20
425,0,68000,66525,11,14
426,0,197000,55211,156,17
427,1,233000,56441,139,17
428,0,119000,68937,361,3
429,0,285000,67283,200,13
430,1,271000,55941,435,17
431,1,79000,57885,81,40
432,1,129000,67613,54,12
433,1,28000,56117,45,39
434,0,122000,67914,487,26
435,1,268000,69960,268,12
436,1,25000,60305,60,26
437,1,177000,64669,197,35
438,0,213000,63767,498,3
439,0,122000,61110,334,40
440,1,177000,59284,138,35
441,1,82000,62351,381,3
442,0,205000,69485,462,27
443,0,268000,60743,312,10
444,0,58000,67519,498,4
445,0,263000,65359,2,14
446,0,293000,59949,477,25
447,1,124000,64743,379,6
448,1,174000,57358,107,37
449,0,129000,55372,341,10
450,1,32000,65385,419,4
451,0,40000,63964,287,32
452,0,115000,70396,354,6
453,0,274000,58842,104,15
454,1,188000,60356,365,20
455,0,230000,70232,188,19
456,1,102000,68487,93,27
457,0,92000,62640,262,29
458,0,37000,70693,451,9
459,1,217000,69041,412,32
460,0,178000,56935,82,28
461,0,232000,68636,334,13
462,0,135000,62026,177,25
463,1,271000,62320,254,2
464,0,157000,61040,7,21
465,0,255000,67762,364,6
466,0,85000,56494,138,30
467,1,88000,69080,417,32
468,0,45000,59434,90,27
469,0,300000,55030,4,15
470,0,237000,63176,315,29
471,0,264000,70054,88,14
472,0,269000,71739,225,35
473,1,46000,65534,444,6
474,1,239000,57935,43,3
475,0,37000,62037,371,20
476,0,127000,60325,108,5
477,1,216000,61939,370,7
478,0,224000,71891,13,34
479,1,98000,66745,333,38
480,1,25000,64368,97,19
481,1,267000,71097,247,3
482,1,75000,55259,303,11
483,1,197000,64438,6,26
484,0,205000,69655,175,12
485,0,235000,61631,112,20
486,0,280000,55816,494,9
487,0,28000,61603,201,40
488,0,284000,65443,249,28
489,0,129000,63448,128,35
490,0,160000,57069,122,24
491,1,269000,57963,450,32
492,1,81000,60240,73,28
493,0,218000,67987,350,18
494,0,174000,57937,417,26
495,0,251000,68030,48,6
496,1,122000,70445,240,5
497,1,129000,63036,356,33
498,0,162000,70321,142,5
499,1,218000,57413,39,38
